[>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>] 2000/2000, 8.6 task/s, elapsed: 232s, ETA:     0sper class results:

+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
|         step        | 13.33 | 14.82 |
|         tank        | 55.94 | 66.36 |
|      trade name     | 24.71 | 28.48 |
|      microwave      | 62.84 | 69.82 |
|         pot         | 45.65 | 53.58 |
|        animal       | 66.76 | 70.06 |
|       bicycle       | 54.89 | 76.82 |
|         lake        | 46.99 | 56.59 |
|      dishwasher     | 68.61 |  81.0 |
|        screen       | 49.42 | 72.61 |
|       blanket       | 25.05 | 29.47 |
|      sculpture      | 65.49 | 80.27 |
|         hood        | 58.85 | 68.67 |
|        sconce       | 52.48 | 63.25 |
|         vase        | 43.75 | 59.08 |
|    traffic light    | 36.29 | 57.51 |
|         tray        | 11.28 | 17.33 |
|        ashcan       | 45.69 | 62.47 |
|         fan         | 65.62 | 79.06 |
|         pier        | 30.53 | 45.87 |
|      crt screen     |  3.95 | 11.95 |
|        plate        | 57.82 | 75.69 |
|       monitor       |  8.25 | 11.03 |
|    bulletin board   | 48.37 | 65.91 |
|        shower       |  1.76 |  2.06 |
|       radiator      | 67.47 | 76.16 |
|        glass        | 17.26 | 18.97 |
|        clock        |  43.0 |  49.8 |
|         flag        | 62.74 | 75.33 |
+---------------------+-------+-------+
Summary:

+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 84.19 | 52.15 | 64.76 |
+-------+-------+-------+
